"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AY036118",2.67734421422138e-45,4.25332257764643,0.985,0.218,8.64380579561372e-41
"B2m",9.55633114000076e-41,2.90877700381186,0.985,0.755,3.08526150854925e-36
"Gm42418",2.10626178008923e-37,2.72018139241379,1,1,6.80006615701808e-33
"H2-K1",4.07122114764771e-35,2.84320984824923,0.97,0.682,1.31439374751806e-30
"Lars2",1.62875383681748e-34,3.09751583178292,0.975,0.527,5.25843176216522e-30
"H2-D1",4.86453708071834e-33,2.41683329070119,0.97,0.764,1.57051579650992e-28
"Bst2",3.57692741852894e-24,2.89547833695726,0.73,0.191,1.15481101707207e-19
"Npc2",1.41790468548479e-21,2.144048069655,0.855,0.536,4.57770527708763e-17
"Tsc22d3",1.82678095955789e-21,-1.90576512397801,0.145,0.645,5.89776232793263e-17
"S100a11",1.09557204275624e-20,1.60570210241126,0.93,0.673,3.53705434003852e-16
"Igfbp6",1.60698688032794e-18,-2.4544459136124,0.125,0.545,5.18815714313875e-14
"Isg15",1.78617902222565e-18,2.43993504353018,0.585,0.073,5.76667897325552e-14
"Gbp2",1.8116291785767e-18,2.62756905379866,0.51,0.009,5.84884480303487e-14
"Iigp1",5.2933499688799e-18,2.57483401183884,0.525,0.027,1.70895803745288e-13
"Btg2",3.54621427229622e-17,-1.52632176196623,0.225,0.655,1.14489527781083e-12
"Tceal9",4.32253341801418e-17,1.99677656353817,0.685,0.218,1.39552991400588e-12
"Sftpd",1.75060238409724e-16,2.32883377620224,0.59,0.109,5.65181979705792e-12
"Irf7",1.93196654103797e-16,1.99329709636357,0.52,0.055,6.2373539777411e-12
"Tppp3",2.25554806760822e-16,-1.7246025042702,0.195,0.645,7.28203693627312e-12
"Apoe",1.53544204741247e-15,1.71651657049456,0.705,0.209,4.95717465007116e-11
"Ifit3",5.55286232259566e-15,2.19746639985466,0.63,0.218,1.79274160085001e-10
"Klf2",3.45207400158301e-14,-2.05001741824666,0.19,0.564,1.11450209141108e-09
"Foxp1",2.09260826653168e-13,-1.50920483085301,0.16,0.527,6.75598578849754e-09
"Ccl5",2.31003708445253e-13,2.95853169541265,0.46,0.064,7.457954727155e-09
"Gsta3",3.01235055542398e-13,-1.45970610198842,0.03,0.318,9.72537376818631e-09
"Serpinb9",3.21434234904811e-13,1.50460964483178,0.725,0.373,1.03775042739018e-08
"S100a14",4.38622440111941e-13,1.81728322949769,0.435,0.045,1.4160925479014e-08
"Irgm1",7.52974726751789e-13,1.85796236284883,0.455,0.073,2.43097890531815e-08
"Tcf4",2.43304431803271e-12,-0.979817296908059,0.07,0.391,7.85508358076861e-08
"Syk",4.28819464012287e-12,-1.42001041940412,0.015,0.264,1.38444363956367e-07
"Sftpc",9.06614235821141e-12,-0.0426822223568006,0.98,0.918,2.92700406034855e-07
"Col4a1",1.21758014545423e-11,1.53765324785288,0.715,0.382,3.93095749959897e-07
"Ly6d",1.27901105384536e-11,-2.35725070753424,0.03,0.291,4.12928718733973e-07
"Msln",1.56017844524403e-11,2.63517519278099,0.375,0.027,5.03703611047036e-07
