"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Scgb1a1",1.09992681569053e-19,1.87289457682804,1,0.853,3.55111372445688e-15
"Cavin2",1.01499082306148e-12,-1.10267837225745,0.49,0.844,3.276897872254e-08
"Tppp3",1.20207128788014e-12,-1.15559333150412,0.195,0.596,3.88088715292104e-08
"S100a6",8.25643134873413e-12,1.28449240546334,0.96,0.862,2.66558886093882e-07
"Ndst1",9.17182069547688e-12,-1.14558117898,0.6,0.881,2.96112231153471e-07
"Fgf1",2.34325425822871e-11,-1.12962964524811,0.285,0.642,7.56519637269139e-07
"Mgp",3.28394909787118e-11,1.86627029202624,0.58,0.202,1.06022296624771e-06
"Rtkn2",7.79493717124613e-11,-1.26660837221979,0.42,0.697,2.51659546573681e-06
"Lgals3",2.00818010004413e-10,1.56435883824711,0.775,0.541,6.48340945299248e-06
"Gstt1",2.15880664921133e-10,-1.1496034688156,0.135,0.45,6.96970726697877e-06
"Sptbn1",7.96008350956117e-10,-0.896354672552492,0.745,0.862,2.56991296106182e-05
"Col4a3",9.46744844088597e-10,-0.85578131905217,0.585,0.862,3.05656572914003e-05
"Thbs3",1.1250057791259e-09,-1.23193674239358,0.11,0.394,3.63208115790796e-05
"Isg15",1.34898050175161e-09,1.36222790908517,0.585,0.257,4.35518354990507e-05
"Lmo7",1.5795218795256e-09,-0.87846396377864,0.58,0.835,5.09948638804839e-05
"S100a14",4.37149195462006e-09,1.68417925496293,0.435,0.147,0.000141133617754909
"Ly6e",8.66652198606524e-09,1.06418002286788,0.775,0.56,0.000279798662320116
"Rab6b",9.96457573250252e-09,-0.568686599794852,0.035,0.248,0.000321706327523844
"Hsp90ab1",1.24275524658238e-08,0.747510736769881,0.935,0.807,0.000401223531359122
"Rpsa",1.56551957694043e-08,1.00999373944098,0.84,0.679,0.000505427995415216
"Nnat",1.61001173696798e-08,-1.2322266305783,0.055,0.284,0.000519792289280114
"Retnla",1.77591389662775e-08,1.18594128615576,0.305,0.028,0.000573353801526268
"Serf2",2.18574443584821e-08,0.793281159524397,0.885,0.743,0.000705667591113596
"Per3",2.65453021442449e-08,-0.654095894035962,0.05,0.266,0.000857015079726947
"Gapdh",3.38960143026254e-08,1.04535234368731,0.71,0.56,0.00109433282176026
"Limch1",3.79745642910203e-08,-0.848201487544412,0.555,0.771,0.00122600880813559
"Krt7",6.53613449965877e-08,1.04863206054444,0.94,0.853,0.00211019102321483
"Nr1d2",8.18587801712505e-08,-0.448493410596619,0.03,0.22,0.00264281071782882
"Arhgef1",8.45398373032807e-08,-1.10459133525226,0.225,0.477,0.00272936864733642
