"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Trim12a",1.38399496840428e-07,-0.866709588288699,0.027,0.286,0.00446822775549322
"Atf4",4.91716061541234e-05,-0.675621346889557,0.318,0.54,1
"Ficd",0.000361512323097879,0.237487409533876,0.118,0.008,1
"Prps2",0.000391806557602887,0.479645215277537,0.155,0.024,1
"Rgcc",0.000567078037415485,0.730130534706829,0.709,0.508,1
"Ythdc2",0.00057595974682202,0.306420120091384,0.164,0.032,1
"Isoc1",0.000670803378360542,0.330563197470902,0.127,0.016,1
"Sftpc",0.000679910066963383,1.0825241747212,0.918,0.984,1
"Carhsp1",0.000681647163167225,0.502977875505423,0.127,0.016,1
"Gm30054",0.000928933563786281,-0.334129488038251,0,0.095,1
"Ifitm2",0.000989451253835782,0.970676736928516,0.209,0.063,1
"Sorl1",0.0010827341084471,0.741660689826124,0.573,0.429,1
"Tnfsf13",0.00110172592593961,0.2218111737779,0.082,0,1
"Arl16",0.00131216888041491,0.426340407666366,0.1,0.008,1
"Ndufc1",0.00140104993094045,0.711586041502502,0.391,0.19,1
"Cltb",0.00146273267300317,0.68107473379384,0.482,0.278,1
"Chchd2",0.00156806134871048,0.517212392853345,0.864,0.81,1
"Cox6c",0.00162792302796922,0.38602508932687,0.8,0.667,1
"Deptor",0.00173557428337493,-0.644616062055772,0.055,0.183,1
"Ighd",0.00176733606197692,-0.769563011826682,0.218,0.405,1
"Rbbp4",0.0018652967703361,0.385507235358852,0.391,0.183,1
"Nedd4",0.00191049730341061,0.811995317603238,0.473,0.286,1
"Ctse",0.002143311675849,0.312082979877333,0.073,0,1
"Bckdhb",0.002143311675849,0.115142119454827,0.073,0,1
"Prkar2a",0.00249171295463754,-0.620505947284197,0.309,0.484,1
"Pex2",0.00249229156796281,0.427643037174331,0.182,0.056,1
"Dync1li2",0.00249564899453474,0.6420476518399,0.273,0.119,1
"Fnta",0.00249675632427209,0.552430605560814,0.355,0.175,1
