"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AY036118",2.98751632478024e-39,3.60530368229653,0.972,0.183,9.64519645455299e-35
"Gm42418",5.33378823705242e-38,3.16695414608645,1,1,1.72201353233237e-33
"Lars2",4.06103310979819e-35,3.32454361601042,0.982,0.492,1.31110453949834e-30
"B2m",5.2304107561945e-31,2.29822833793098,0.972,0.81,1.68863811263739e-26
"H2-D1",1.11164875984157e-27,2.4125415000379,0.954,0.77,3.5889580211485e-23
"H2-K1",2.59743444957064e-25,2.29367873487529,0.963,0.746,8.38581712043882e-21
"Ighd",1.21413168012108e-13,-2.44445260343529,0,0.405,3.91982412927089e-09
"Ebf1",3.99505385842493e-13,-2.92239219299929,0.009,0.405,1.28980313819249e-08
"Iigp1",6.7397433375874e-13,2.18487008987345,0.349,0,2.17592613654009e-08
"Ly6d",3.90576198780481e-12,-2.71664259426321,0.018,0.397,1.26097525776278e-07
"Cd79a",4.30526529723119e-12,-3.18073198074503,0.037,0.421,1.38995490121109e-07
"Mef2c",5.76577655638406e-12,-2.21555503316836,0.009,0.373,1.8614809612286e-07
"Bank1",2.28969119836705e-11,-1.83196758910821,0,0.341,7.39226803392803e-07
"Cd79b",2.46393598812962e-11,-2.70793279389649,0.055,0.421,7.95481733767647e-07
"Bst2",3.02451957563801e-11,1.74828437519344,0.587,0.23,9.76466144994731e-07
"Fosb",4.25291972819706e-11,-1.74056146704249,0.009,0.349,1.37305513424842e-06
"Ms4a1",5.96757042894722e-11,-1.86038328964538,0.009,0.349,1.92663011298561e-06
"Iglc2",1.11289744883907e-10,-2.19298316100374,0.018,0.357,3.59298941357694e-06
"Cd37",1.1949530620366e-10,-2.04682372049968,0.037,0.381,3.85790596078517e-06
"Ppic",1.29896990134844e-10,1.43148345413771,0.587,0.214,4.19372432650344e-06
"Btg1",1.44763592983064e-10,-2.29261497558119,0.211,0.548,4.67369259945823e-06
"Syk",1.5009734215254e-10,-1.47443506858939,0,0.317,4.84589269139474e-06
"Klf2",3.26086499484435e-10,-1.83555680491085,0.248,0.587,1.0527702635855e-05
"Ltb",3.2637497994103e-10,-2.21656466714379,0.046,0.381,1.05370162273962e-05
"Fcmr",3.80522186260971e-10,-1.81649678307523,0.009,0.325,1.22851587834354e-05
"Srgn",4.15108395419079e-10,-1.96633564091445,0.064,0.405,1.34017745461049e-05
"Fos",4.17212774850775e-10,-1.87283491779809,0.11,0.46,1.34697144360573e-05
"Stk17b",6.47537342629327e-10,-1.90904428186381,0.211,0.54,2.09057431067878e-05
"Ighm",9.19375656131055e-10,-3.31284849589906,0.101,0.429,2.96820430581911e-05
"Pax5",9.41764000084794e-10,-1.5371036107231,0,0.294,3.04048507427376e-05
"Rps3a1",1.20169184437991e-09,-1.35167875050894,0.679,0.913,3.87966211958054e-05
"Hspa8",1.42461793206039e-09,-0.990102543777666,0.734,0.944,4.59937899365698e-05
"Ccr7",1.83212890167764e-09,-1.53929818164373,0.009,0.302,5.91502815906625e-05
"Rpl22",2.52331372536944e-09,-1.29371437811032,0.532,0.794,8.14651836235525e-05
"Cxcr4",2.58968540424959e-09,-1.31134478384611,0.018,0.325,8.36079932761981e-05
"Gbp2",3.11603512009777e-09,1.95578820385716,0.266,0.008,0.000100601193852357
"Iglc3",3.26100949950283e-09,-1.75272672062644,0.009,0.294,0.000105281691691449
"H2-Ob",3.82865070275164e-09,-1.45249299518939,0.018,0.31,0.000123607987938337
"Npc2",5.89201171313103e-09,1.44935613649714,0.697,0.444,0.000190223598158435
"Siglecg",6.10200469122409e-09,-1.18057934102603,0.009,0.286,0.00019700322145617
"Col4a3",6.24277645653169e-09,0.941498894406427,0.862,0.429,0.000201548037899126
"Rpl8",6.66740673680484e-09,-1.22289171623113,0.661,0.881,0.000215257226497744
"Rps15a",9.21640499529145e-09,-1.59026580455979,0.642,0.849,0.000297551635272985
"Wfdc2",9.64150474787662e-09,1.38594437945318,0.615,0.302,0.000311275980785197
"Ralgps2",1.00824983499837e-08,-1.460105193222,0.018,0.302,0.000325513459229224
"Fcer2a",1.02090623860747e-08,-1.47907501123363,0,0.262,0.000329599579134422
"Sort1",1.04777089878208e-08,1.36668450784664,0.596,0.278,0.000338272834671793
"Rpsa",1.49714961768447e-08,-1.47405324979493,0.679,0.897,0.000483354754069432
"Msln",1.50539689862389e-08,0.993078689225818,0.229,0,0.000486017388720723
"Cd63",1.55440340535833e-08,1.1108861774396,0.578,0.246,0.000501839139419938
"Rpl34",2.12420967009776e-08,-1.15731482140614,0.651,0.873,0.000685801091991062
"Hs2st1",2.18225262226016e-08,0.960765070029722,0.807,0.54,0.000704540259096693
"mt-Nd4",2.5417783910845e-08,-0.591144661793621,0.982,0.992,0.00082061315356163
"Fchsd2",2.62548380848256e-08,-1.61756462001837,0.037,0.31,0.000847637447568593
"Rps3",2.96446158888538e-08,-1.21835521690925,0.725,0.865,0.000957076423971645
"Fau",3.11168484147719e-08,-1.41508121586508,0.78,0.937,0.00100460745107091
"Enpep",3.12467799492986e-08,0.795688773745457,0.22,0,0.0010088022906631
"Clu",3.55663399031586e-08,1.65138019912674,0.459,0.151,0.00114825928377347
"Ccl5",3.91398136992185e-08,1.83034820679961,0.275,0.024,0.00126362888527927
"Igfbp7",4.08627079199616e-08,1.00953888461996,0.899,0.722,0.00131925252519596
"Ndnf",4.64595177256854e-08,1.05523114018819,0.853,0.508,0.00149994552977375
"Cd19",4.72060362412293e-08,-1.09705959372091,0.009,0.262,0.00152404688004809
"Rpl9",4.86731279812347e-08,-1.16991763821213,0.679,0.897,0.00157141193687416
"Col4a1",4.87863282704716e-08,1.17910302685023,0.734,0.421,0.00157506660821218
"Cd53",4.94040471567724e-08,-1.13689616663553,0.037,0.31,0.0015950096624564
"Ets1",5.31484308141447e-08,-1.58215719722435,0.165,0.468,0.00171589708883466
"Cldn3",6.25580647010544e-08,1.08160887034268,0.229,0.008,0.00201968711887354
"mt-Cytb",7.02727060863849e-08,-0.559385151933986,0.991,1,0.00226875431599894
"Atf4",8.09928684102931e-08,-0.932996899546567,0.229,0.54,0.00261485475662631
"mt-Nd1",8.40491429667472e-08,-0.659268250233114,0.936,0.952,0.00271352658068143
"Ripor2",8.86648049027741e-08,-1.29773956880695,0.037,0.302,0.00286254322628606
"Foxp1",9.62391792188073e-08,-1.68338620370175,0.303,0.563,0.00310708190107919
"Sparc",9.63767303861223e-08,0.724067787232358,0.972,0.865,0.00311152274051596
"Tsc22d3",1.00032858423954e-07,-1.27001646796311,0.312,0.587,0.00322956083421734
"Bcam",1.00233011403122e-07,1.01689405960745,0.78,0.492,0.0032360227731498
"Lap3",1.03359144792777e-07,0.879868557969092,0.294,0.04,0.00333694998963481
"Sell",1.07146616034985e-07,-1.33711433204927,0.028,0.286,0.00345922849868949
"H2-DMb2",1.2285706069664e-07,-1.37202106504539,0.037,0.294,0.00396644020459101
"Rack1",1.28022677800588e-07,-1.09120007388267,0.56,0.802,0.00413321215279199
"H2-Q7",1.38095639003339e-07,1.37428962186197,0.514,0.23,0.00445841770522281
"Ptprc",1.49692081594328e-07,-1.38832395833251,0.101,0.405,0.00483280885427287
"Gstt1",1.54394626857453e-07,1.05148105768569,0.45,0.143,0.00498463052809286
"Glipr2",1.59016368365443e-07,0.763399268162554,0.294,0.04,0.00513384345267831
"Slc38a1",1.65017430411691e-07,-1.10926127522092,0.018,0.262,0.00532758774084146
"Junb",1.65996859400487e-07,-1.96338491875649,0.266,0.524,0.00535920860574471
"Bach2",1.72302919891048e-07,-1.14381726126289,0.009,0.246,0.00556279976868249
"Dnaja1",1.75863986530984e-07,-1.05567434658551,0.33,0.619,0.00567776880515283
"Gm26740",1.81789783012442e-07,-1.04753541014302,0,0.222,0.00586908314455669
"Coro1a",1.86785679508116e-07,-1.5680022241749,0.11,0.405,0.00603037566291953
"Prkcb",2.09330503901044e-07,-1.07210129427075,0.009,0.238,0.00675823531844521
"Cybb",2.09330503901044e-07,-1.13412308301546,0.009,0.238,0.00675823531844521
"Ifi209",2.16300506785675e-07,-1.0361214102948,0.018,0.254,0.0069832618615755
"Pde4b",2.20652859207159e-07,-0.918112209596945,0.009,0.238,0.00712377755950313
"Arhgdib",2.23814251194479e-07,-1.69925665473701,0.092,0.365,0.00722584309981376
"Gimap6",2.27660601778624e-07,-1.41262980604769,0.046,0.302,0.00735002252842289
"Fcrla",2.28527458427103e-07,-1.07464331021474,0.009,0.238,0.00737800899531901
"Add3",2.36352617082768e-07,-1.10743583142412,0.055,0.317,0.00763064424251717
"Dock2",2.37880463429998e-07,-0.940586673204982,0.037,0.294,0.00767997076183749
"Mmp14",2.43393589090544e-07,0.694431577501721,0.303,0.048,0.00785796202378822
"Gm8369",2.45151004979135e-07,-1.26838518819984,0.028,0.27,0.00791470019575139
"Rps9",2.53789474790467e-07,-1.17928490406538,0.716,0.881,0.00819359319361024
"Cd69",2.53814687278686e-07,-1.22007900561137,0.009,0.238,0.00819440717879238
"Serpinb9",2.64369576802106e-07,1.20012671879151,0.661,0.397,0.008535171787056
"Pou2f2",2.85548561851878e-07,-1.42922601836319,0.037,0.286,0.00921893531938789
"Slfn2",2.86071401302851e-07,-1.15033531730761,0.046,0.302,0.00923581519106254
"Ptprcap",2.87530862750251e-07,-1.25760652036187,0.064,0.341,0.00928293390389184
"Cd22",3.02078849954566e-07,-1.05472874202021,0.009,0.238,0.00975261567078316
